state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,simulated_dem_win_prob,avg_simulated_margin_dem,tipping_count,tipping_share_of_control_sims
Alaska,Mary Peltola / Dem-Ind field,Dan Sullivan,R,Likely,-6.0,-6.007402759975445,0.9475972400245558,-1.7310874736293562,0.42195740738605797,0.65,0.85,1,0.37836,-1.7023857822724222,5068,0.19041893668983656
Colorado,John Hickenlooper,Republican nominee TBD,D,Safe,9.0,9.007402759975449,18.102402759975448,14.592920806962692,0.9342115320558154,0.85,0.65,1,0.99748,14.613586297962383,0,0.0
Delaware,Chris Coons,Republican nominee TBD,D,Safe,15.0,15.014805519950892,23.039805519950892,19.940013836147607,0.9740541964367638,0.75,0.65,1,0.99996,19.947794501942937,0,0.0
Illinois,Juliana Stratton,Don Tracy,D-open,Safe,14.0,14.007402759975449,22.032402759975447,18.935465251407138,0.969016050514795,0.75,0.65,1,0.99988,18.9499270674233,0,0.0
Massachusetts,Ed Markey,Republican nominee TBD,D,UltraSafe,25.0,25.014805519950897,31.4348055199509,28.953830502814277,0.9948537775000585,0.6,0.45,1,1.0,28.975880727423476,0,0.0
New Jersey,Cory Booker,Republican nominee TBD,D,Safe,11.0,11.007402759975443,20.102402759975444,16.592920806962688,0.9533315631316882,0.85,0.65,1,0.99944,16.61068179428212,0,0.0
New Mexico,Ben Ray Lujan,Republican nominee TBD,D,Safe,9.0,9.007402759975449,18.63740275997545,14.92164858474047,0.937790976054069,0.9,0.65,1,0.99804,14.93964766125739,0,0.0
Oregon,Jeff Merkley,David Brock Smith,D,Safe,14.0,14.007402759975449,22.56740275997545,19.264193029184916,0.9707611046047763,0.8,0.65,1,0.9999,19.280688861906853,0,0.0
Rhode Island,Jack Reed,Republican nominee TBD,D,UltraSafe,22.0,22.014805519950897,28.9698055199509,26.28255828059205,0.9916627277280701,0.65,0.45,1,1.0,26.302629926085007,0,0.0
Virginia,Mark Warner,Republican nominee TBD,D,Likely,7.0,7.007402759975446,17.172402759975448,13.25037636251825,0.9175230875931331,0.95,0.85,1,0.99326,13.267735478702704,0,0.0
