simulation,dem_seats,dem_control,national_error
677,49.0,0,-2.6864494050319565
678,52.0,1,1.7242718469111502
679,50.0,0,-1.1979886073606572
680,49.0,0,-3.8323598714301954
681,50.0,0,-0.23822881076133562
682,49.0,0,-3.8295065147880814
683,51.0,1,2.3650760542600504
684,53.0,1,2.8875016337102632
685,50.0,0,-0.88848806682969
686,49.0,0,-3.483820758514518
687,43.0,0,-13.059845991495157
688,52.0,1,1.6836139493477347
689,49.0,0,-1.121038619329496
690,50.0,0,-3.4428427163625144
691,52.0,1,3.4008243656576487
692,51.0,1,-2.3904110776372836
693,52.0,1,-0.02344167261178067
694,47.0,0,-6.182776551133649
695,54.0,1,6.422157486668121
696,51.0,1,0.358680535459959
697,49.0,0,-3.927951418981548
698,48.0,0,-4.452943103235609
699,51.0,1,-1.7737475977088548
700,54.0,1,5.984794209428776
701,53.0,1,3.099718023838555
702,55.0,1,8.564835327137503
703,53.0,1,2.190295332095244
704,49.0,0,0.9153360196626249
705,50.0,0,-0.999584804258129
706,53.0,1,2.629747788774045
707,52.0,1,1.9183069961306565
708,54.0,1,3.834110070111136
709,54.0,1,2.736967970172106
710,52.0,1,3.14613672366274
711,54.0,1,4.548880058871298
712,53.0,1,6.217705888806367
713,55.0,1,9.66328471826483
714,51.0,1,1.6178853842919008
715,50.0,0,1.0095427901376561
716,51.0,1,0.17868803943900166
717,52.0,1,1.17788549764292
718,51.0,1,2.1658545827419453
719,53.0,1,2.6679604630001292
720,48.0,0,-5.457720479893323
721,47.0,0,-8.05277601873302
722,52.0,1,0.5457793710096432
723,55.0,1,7.961033242045697
724,53.0,1,2.4963743905528415
725,55.0,1,4.567527412995549
726,57.0,1,10.494211020267093
727,53.0,1,2.08263401924279
728,48.0,0,-4.299151234096389
729,54.0,1,5.250320625751553
730,48.0,0,-3.9805521609709635
731,48.0,0,-4.479355690580195
732,61.0,1,16.902275667890965
733,54.0,1,5.975604628341753
734,53.0,1,2.742508198841817
735,52.0,1,3.844948640747805
736,53.0,1,5.995247284308039
737,53.0,1,5.266565257692349
738,53.0,1,0.9499095528215119
739,47.0,0,-4.270711726245027
740,52.0,1,6.132254416619794
741,50.0,0,-0.13185442925363597
742,52.0,1,1.9506332657798833
743,54.0,1,6.600349831837441
744,49.0,0,-5.02016957802443
745,50.0,0,0.657217187182346
746,50.0,0,-1.6923444788805817
747,50.0,0,0.41316740723085305
748,50.0,0,0.18806416791042763
749,54.0,1,4.530063573417015
750,49.0,0,-4.955490523873521
751,51.0,1,0.6655315594362928
752,47.0,0,-7.588723912632151
753,50.0,0,-0.3680995915720987
754,50.0,0,-3.2372811293217345
755,50.0,0,-1.8274238296499532
756,54.0,1,4.807892959783263
757,49.0,0,-2.9925570173974134
758,55.0,1,5.812204885325174
759,53.0,1,4.6435754380067635
760,54.0,1,3.6669139910777644
761,51.0,1,-1.147330862570691
762,49.0,0,-1.9448271827933263
763,51.0,1,2.9692633533557946
764,54.0,1,6.297742443112528
765,49.0,0,-0.9715543642809321
766,47.0,0,-6.839711601996686
767,56.0,1,11.779333154905395
768,50.0,0,-1.3700434769585264
769,54.0,1,5.4175429034987195
770,49.0,0,-2.401872027708278
771,50.0,0,-1.3537385085761842
772,54.0,1,6.718214023017954
773,48.0,0,-3.714754829414319
774,50.0,0,-2.453194748612082
775,51.0,1,0.10204437923012019
776,51.0,1,-1.0816609649026774
777,54.0,1,5.995566019091419
778,49.0,0,-2.0012722234934697
